2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[1876]	valid_0's rmse: 0.0238678	valid_0's l2: 0.000569673
[1877]	valid_0's rmse: 0.0238678	valid_0's l2: 0.000569671
[1878]	valid_0's rmse: 0.0238677	valid_0's l2: 0.000569667
[1879]	valid_0's rmse: 0.0238674	valid_0's l2: 0.000569654
[1880]	valid_0's rmse: 0.0238674	valid_0's l2: 0.000569652
[1881]	valid_0's rmse: 0.0238674	valid_0's l2: 0.000569652
[1882]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569644
[1883]	valid_0's rmse: 0.0238671	valid_0's l2: 0.000569639
[1884]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569644
[1885]	valid_0's rmse: 0.0238671	valid_0's l2: 0.00056964
[1886]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569644
[1887]	valid_0's rmse: 0.0238671	valid_0's l2: 0.00056964
[1888]	valid_0's rmse: 0.0238671	valid_0's l2: 0.00056964
[1889]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569643
[1890]	valid_0's rmse: 0.0238673	valid_0's l2: 0.000569647
[1891]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569642
[1892]	valid_0's rmse: 0.0238673	valid_0's l2: 0.000569647
[1893]	valid_0's rmse: 0.0238673	valid_0's l2: 0.000569646
[1894]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569641
[1895]	valid_0's rmse: 0.023867	valid_0's l2: 0.000569636
[1896]	valid_0's rmse: 0.023867	valid_0's l2: 0.000569633
[1897]	valid_0's rmse: 0.023867	valid_0's l2: 0.000569634
[1898]	valid_0's rmse: 0.0238672	valid_0's l2: 0.000569641
[1899]	valid_0's rmse: 0.0238671	valid_0's l2: 0.00056964
[1900]	valid_0's rmse: 0.023867	valid_0's l2: 0.000569632
[1901]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569631
[1902]	valid_0's rmse: 0.0238669	valid_0's l2: 0.00056963
[1903]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569631
[1904]	valid_0's rmse: 0.0238671	valid_0's l2: 0.000569637
[1905]	valid_0's rmse: 0.0238671	valid_0's l2: 0.000569638
[1906]	valid_0's rmse: 0.023867	valid_0's l2: 0.000569634
[1907]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569629
[1908]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569628
[1909]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569625
[1910]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569627
[1911]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569623
[1912]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569631
[1913]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569627
[1914]	valid_0's rmse: 0.0238669	valid_0's l2: 0.000569627
[1915]	valid_0's rmse: 0.0238667	valid_0's l2: 0.000569621
[1916]	valid_0's rmse: 0.0238667	valid_0's l2: 0.000569621
[1917]	valid_0's rmse: 0.0238666	valid_0's l2: 0.000569616
[1918]	valid_0's rmse: 0.0238666	valid_0's l2: 0.000569616
[1919]	valid_0's rmse: 0.0238667	valid_0's l2: 0.000569619
[1920]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569622
[1921]	valid_0's rmse: 0.0238667	valid_0's l2: 0.000569621
[1922]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569625
[1923]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569622
[1924]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569626
[1925]	valid_0's rmse: 0.0238668	valid_0's l2: 0.000569626
[1926]	valid_0's rmse: 0.0238667	valid_0's l2: 0.00056962
[1927]	valid_0's rmse: 0.0238665	valid_0's l2: 0.000569611
[1928]	valid_0's rmse: 0.0238665	valid_0's l2: 0.00056961
[1929]	valid_0's rmse: 0.0238665	valid_0's l2: 0.00056961
[1930]	valid_0's rmse: 0.0238665	valid_0's l2: 0.000569612
[1931]	valid_0's rmse: 0.0238665	valid_0's l2: 0.000569611
[1932]	valid_0's rmse: 0.0238666	valid_0's l2: 0.000569612
[1933]	valid_0's rmse: 0.0238666	valid_0's l2: 0.000569613
[1934]	valid_0's rmse: 0.0238665	valid_0's l2: 0.000569608
[1935]	valid_0's rmse: 0.0238664	valid_0's l2: 0.000569604
[1936]	valid_0's rmse: 0.0238663	valid_0's l2: 0.000569602
[1937]	valid_0's rmse: 0.0238662	valid_0's l2: 0.000569596
[1938]	valid_0's rmse: 0.0238663	valid_0's l2: 0.0005696
[1939]	valid_0's rmse: 0.0238663	valid_0's l2: 0.0005696
[1940]	valid_0's rmse: 0.0238661	valid_0's l2: 0.00056959
[1941]	valid_0's rmse: 0.0238661	valid_0's l2: 0.000569589
[1942]	valid_0's rmse: 0.0238661	valid_0's l2: 0.000569589
[1943]	valid_0's rmse: 0.0238661	valid_0's l2: 0.000569589
[1944]	valid_0's rmse: 0.023866	valid_0's l2: 0.000569586
[1945]	valid_0's rmse: 0.023866	valid_0's l2: 0.000569586
[1946]	valid_0's rmse: 0.0238659	valid_0's l2: 0.00056958
[1947]	valid_0's rmse: 0.0238658	valid_0's l2: 0.000569578
[1948]	valid_0's rmse: 0.0238657	valid_0's l2: 0.000569573
[1949]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569569
[1950]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569567
[1951]	valid_0's rmse: 0.0238657	valid_0's l2: 0.00056957
[1952]	valid_0's rmse: 0.0238657	valid_0's l2: 0.000569572
[1953]	valid_0's rmse: 0.0238657	valid_0's l2: 0.000569571
[1954]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569567
[1955]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569566
[1956]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569561
[1957]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569559
[1958]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569559
[1959]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569565
[1960]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569561
[1961]	valid_0's rmse: 0.0238655	valid_0's l2: 0.00056956
[1962]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569563
[1963]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569567
[1964]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569561
[1965]	valid_0's rmse: 0.0238656	valid_0's l2: 0.000569567
[1966]	valid_0's rmse: 0.0238654	valid_0's l2: 0.00056956
[1967]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569561
[1968]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569558
[1969]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569555
[1970]	valid_0's rmse: 0.0238653	valid_0's l2: 0.000569554
[1971]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569555
[1972]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569564
[1973]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569562
[1974]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569559
[1975]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569556
[1976]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569561
[1977]	valid_0's rmse: 0.0238655	valid_0's l2: 0.000569562
[1978]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569557
[1979]	valid_0's rmse: 0.0238654	valid_0's l2: 0.000569555
[1980]	valid_0's rmse: 0.0238653	valid_0's l2: 0.000569553
[1981]	valid_0's rmse: 0.0238651	valid_0's l2: 0.000569544
[1982]	valid_0's rmse: 0.0238652	valid_0's l2: 0.000569548
[1983]	valid_0's rmse: 0.0238653	valid_0's l2: 0.000569552
[1984]	valid_0's rmse: 0.0238652	valid_0's l2: 0.000569548
[1985]	valid_0's rmse: 0.0238653	valid_0's l2: 0.000569553
[1986]	valid_0's rmse: 0.0238652	valid_0's l2: 0.000569548
[1987]	valid_0's rmse: 0.0238651	valid_0's l2: 0.000569545
[1988]	valid_0's rmse: 0.0238651	valid_0's l2: 0.000569545
[1989]	valid_0's rmse: 0.0238652	valid_0's l2: 0.000569549
[1990]	valid_0's rmse: 0.0238653	valid_0's l2: 0.000569553
[1991]	valid_0's rmse: 0.0238653	valid_0's l2: 0.000569551
[1992]	valid_0's rmse: 0.023865	valid_0's l2: 0.00056954
[1993]	valid_0's rmse: 0.023865	valid_0's l2: 0.000569537
[1994]	valid_0's rmse: 0.0238648	valid_0's l2: 0.00056953
[1995]	valid_0's rmse: 0.0238648	valid_0's l2: 0.00056953
[1996]	valid_0's rmse: 0.0238648	valid_0's l2: 0.00056953
[1997]	valid_0's rmse: 0.0238648	valid_0's l2: 0.000569527
[1998]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569525
[1999]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569525
[2000]	valid_0's rmse: 0.0238646	valid_0's l2: 0.000569521
[2001]	valid_0's rmse: 0.0238646	valid_0's l2: 0.000569522
[2002]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569526
[2003]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569526
[2004]	valid_0's rmse: 0.0238648	valid_0's l2: 0.000569529
[2005]	valid_0's rmse: 0.0238649	valid_0's l2: 0.000569532
[2006]	valid_0's rmse: 0.0238648	valid_0's l2: 0.000569527
[2007]	valid_0's rmse: 0.0238648	valid_0's l2: 0.000569527
[2008]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569524
[2009]	valid_0's rmse: 0.0238646	valid_0's l2: 0.000569521
[2010]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569522
[2011]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569522
[2012]	valid_0's rmse: 0.0238648	valid_0's l2: 0.00056953
[2013]	valid_0's rmse: 0.0238648	valid_0's l2: 0.000569527
[2014]	valid_0's rmse: 0.0238647	valid_0's l2: 0.000569526
[2015]	valid_0's rmse: 0.0238646	valid_0's l2: 0.00056952
[2016]	valid_0's rmse: 0.0238646	valid_0's l2: 0.000569517
[2017]	valid_0's rmse: 0.0238646	valid_0's l2: 0.00056952
[2018]	valid_0's rmse: 0.0238645	valid_0's l2: 0.000569516
[2019]	valid_0's rmse: 0.0238645	valid_0's l2: 0.000569514
[2020]	valid_0's rmse: 0.0238644	valid_0's l2: 0.000569511
[2021]	valid_0's rmse: 0.0238644	valid_0's l2: 0.000569508
[2022]	valid_0's rmse: 0.0238643	valid_0's l2: 0.000569506
[2023]	valid_0's rmse: 0.0238644	valid_0's l2: 0.000569508
[2024]	valid_0's rmse: 0.0238642	valid_0's l2: 0.0005695
[2025]	valid_0's rmse: 0.0238641	valid_0's l2: 0.000569495
[2026]	valid_0's rmse: 0.0238641	valid_0's l2: 0.000569495
[2027]	valid_0's rmse: 0.0238641	valid_0's l2: 0.000569493
[2028]	valid_0's rmse: 0.023864	valid_0's l2: 0.000569492
[2029]	valid_0's rmse: 0.023864	valid_0's l2: 0.000569489
[2030]	valid_0's rmse: 0.0238639	valid_0's l2: 0.000569488
[2031]	valid_0's rmse: 0.023864	valid_0's l2: 0.000569491
[2032]	valid_0's rmse: 0.023864	valid_0's l2: 0.000569488
[2033]	valid_0's rmse: 0.0238639	valid_0's l2: 0.000569486
[2034]	valid_0's rmse: 0.0238639	valid_0's l2: 0.000569486
[2035]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569478
[2036]	valid_0's rmse: 0.0238638	valid_0's l2: 0.00056948
[2037]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569477
[2038]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569469
[2039]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569472
[2040]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569473
[2041]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569469
[2042]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569474
[2043]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569474
[2044]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569478
[2045]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569476
[2046]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569475
[2047]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569474
[2048]	valid_0's rmse: 0.0238635	valid_0's l2: 0.000569468
[2049]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569472
[2050]	valid_0's rmse: 0.0238636	valid_0's l2: 0.00056947
[2051]	valid_0's rmse: 0.0238635	valid_0's l2: 0.000569468
[2052]	valid_0's rmse: 0.0238635	valid_0's l2: 0.000569469
[2053]	valid_0's rmse: 0.0238635	valid_0's l2: 0.000569466
[2054]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569471
[2055]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569475
[2056]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569469
[2057]	valid_0's rmse: 0.0238636	valid_0's l2: 0.00056947
[2058]	valid_0's rmse: 0.0238638	valid_0's l2: 0.000569482
[2059]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569475
[2060]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569474
[2061]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569474
[2062]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569477
[2063]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569476
[2064]	valid_0's rmse: 0.0238637	valid_0's l2: 0.000569474
[2065]	valid_0's rmse: 0.0238638	valid_0's l2: 0.000569479
[2066]	valid_0's rmse: 0.0238638	valid_0's l2: 0.000569479
[2067]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569473
[2068]	valid_0's rmse: 0.0238636	valid_0's l2: 0.00056947
[2069]	valid_0's rmse: 0.0238636	valid_0's l2: 0.00056947
[2070]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569472
[2071]	valid_0's rmse: 0.0238636	valid_0's l2: 0.00056947
[2072]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569471
[2073]	valid_0's rmse: 0.0238636	valid_0's l2: 0.000569469
[2074]	valid_0's rmse: 0.0238634	valid_0's l2: 0.000569462
[2075]	valid_0's rmse: 0.0238634	valid_0's l2: 0.000569463
[2076]	valid_0's rmse: 0.0238633	valid_0's l2: 0.000569455
[2077]	valid_0's rmse: 0.0238632	valid_0's l2: 0.000569451
[2078]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569448
[2079]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569442
[2080]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569441
[2081]	valid_0's rmse: 0.0238629	valid_0's l2: 0.00056944
[2082]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569441
[2083]	valid_0's rmse: 0.0238629	valid_0's l2: 0.00056944
[2084]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569435
[2085]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569438
[2086]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569439
[2087]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569442
[2088]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569446
[2089]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569447
[2090]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569448
[2091]	valid_0's rmse: 0.0238633	valid_0's l2: 0.000569457
[2092]	valid_0's rmse: 0.0238632	valid_0's l2: 0.000569451
[2093]	valid_0's rmse: 0.0238632	valid_0's l2: 0.000569451
[2094]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569445
[2095]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569446
[2096]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569448
[2097]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569444
[2098]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569444
[2099]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569446
[2100]	valid_0's rmse: 0.0238631	valid_0's l2: 0.000569448
[2101]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569442
[2102]	valid_0's rmse: 0.023863	valid_0's l2: 0.000569442
[2103]	valid_0's rmse: 0.0238629	valid_0's l2: 0.00056944
[2104]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569438
[2105]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569437
[2106]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569436
[2107]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569435
[2108]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569437
[2109]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569436
[2110]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569434
[2111]	valid_0's rmse: 0.0238629	valid_0's l2: 0.000569437
[2112]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569432
[2113]	valid_0's rmse: 0.0238627	valid_0's l2: 0.00056943
[2114]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569431
[2115]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569434
[2116]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569432
[2117]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569428
[2118]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569423
[2119]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569429
[2120]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569429
[2121]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569428
[2122]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569423
[2123]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569424
[2124]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569417
[2125]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569417
[2126]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569418
[2127]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569418
[2128]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569415
[2129]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569417
[2130]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569416
[2131]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569415
[2132]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569415
[2133]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569421
[2134]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569416
[2135]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569424
[2136]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569425
[2137]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569432
[2138]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569434
[2139]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569434
[2140]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569435
[2141]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569433
[2142]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569434
[2143]	valid_0's rmse: 0.0238627	valid_0's l2: 0.00056943
[2144]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569434
[2145]	valid_0's rmse: 0.0238628	valid_0's l2: 0.000569431
[2146]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569429
[2147]	valid_0's rmse: 0.0238627	valid_0's l2: 0.00056943
[2148]	valid_0's rmse: 0.0238627	valid_0's l2: 0.000569429
[2149]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569425
[2150]	valid_0's rmse: 0.0238626	valid_0's l2: 0.000569421
[2151]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569416
[2152]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569417
[2153]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569407
[2154]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569401
[2155]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569402
[2156]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569401
[2157]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569402
[2158]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569402
[2159]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569401
[2160]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569399
[2161]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569401
[2162]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569406
[2163]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569416
[2164]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569417
[2165]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569415
[2166]	valid_0's rmse: 0.0238625	valid_0's l2: 0.000569417
[2167]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569416
[2168]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569412
[2169]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569413
[2170]	valid_0's rmse: 0.0238623	valid_0's l2: 0.000569411
[2171]	valid_0's rmse: 0.0238623	valid_0's l2: 0.000569409
[2172]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569406
[2173]	valid_0's rmse: 0.0238623	valid_0's l2: 0.000569408
[2174]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569413
[2175]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569412
[2176]	valid_0's rmse: 0.0238624	valid_0's l2: 0.000569414
[2177]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569406
[2178]	valid_0's rmse: 0.0238623	valid_0's l2: 0.000569409
[2179]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569406
[2180]	valid_0's rmse: 0.0238622	valid_0's l2: 0.000569404
[2181]	valid_0's rmse: 0.0238621	valid_0's l2: 0.000569399
[2182]	valid_0's rmse: 0.0238619	valid_0's l2: 0.00056939
[2183]	valid_0's rmse: 0.0238619	valid_0's l2: 0.00056939
[2184]	valid_0's rmse: 0.0238618	valid_0's l2: 0.000569386
[2185]	valid_0's rmse: 0.0238618	valid_0's l2: 0.000569384
[2186]	valid_0's rmse: 0.0238617	valid_0's l2: 0.000569381
[2187]	valid_0's rmse: 0.0238617	valid_0's l2: 0.00056938
[2188]	valid_0's rmse: 0.0238617	valid_0's l2: 0.000569381
[2189]	valid_0's rmse: 0.0238617	valid_0's l2: 0.000569379
[2190]	valid_0's rmse: 0.0238616	valid_0's l2: 0.000569374
[2191]	valid_0's rmse: 0.0238615	valid_0's l2: 0.000569373
[2192]	valid_0's rmse: 0.0238615	valid_0's l2: 0.00056937
[2193]	valid_0's rmse: 0.0238615	valid_0's l2: 0.000569369
[2194]	valid_0's rmse: 0.0238614	valid_0's l2: 0.000569365
[2195]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569362
[2196]	valid_0's rmse: 0.0238615	valid_0's l2: 0.000569371
[2197]	valid_0's rmse: 0.0238614	valid_0's l2: 0.000569366
[2198]	valid_0's rmse: 0.0238613	valid_0's l2: 0.000569362
[2199]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569355
[2200]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569354
[2201]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569357
[2202]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569355
[2203]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569356
[2204]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569354
[2205]	valid_0's rmse: 0.0238611	valid_0's l2: 0.00056935
[2206]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569351
[2207]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569353
[2208]	valid_0's rmse: 0.0238611	valid_0's l2: 0.00056935
[2209]	valid_0's rmse: 0.023861	valid_0's l2: 0.000569349
[2210]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569351
[2211]	valid_0's rmse: 0.0238612	valid_0's l2: 0.000569355
[2212]	valid_0's rmse: 0.0238611	valid_0's l2: 0.000569352
